BRAINBYSITE.TXT
Who has access

System properties
Type
Text
Size
577 KB
Storage used
577 KB
Location
Colab Notebooks
Owner
Whisper
Modified
May 27, 2021 by Whisper
Opened
9:01 AM by me
Created
8:57 AM
No description
Viewers can download
AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Benign/Borderline|~|39865121|Female|All other|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|All other|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|All other|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|All other|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|All other|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|All other|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|All other|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|All other|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|All other|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|All other|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|All other|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|All other|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|40632733|Female|All other|2010|~|~|~
0-19|~|~|~|Malignant|~|40632733|Female|All other|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|40459557|Female|All other|2011|~|~|~
0-19|~|~|~|Malignant|~|40459557|Female|All other|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|40305208|Female|All other|2012|~|~|~
0-19|~|~|~|Malignant|~|40305208|Female|All other|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|40208756|Female|All other|2013|~|~|~
0-19|~|~|~|Malignant|~|40208756|Female|All other|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40150534|Female|All other|2014|~|~|~
0-19|~|~|~|Malignant|~|40150534|Female|All other|2014|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|37|198853824|Female|All other|2014-2018|0.0|0.0|0.0
0-19|0.1|0.1|0.1|Malignant|145|198853824|Female|All other|2014-2018|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40145405|Female|All other|2015|~|~|~
0-19|~|~|~|Malignant|~|40145405|Female|All other|2015|~|~|~
0-19|~|~|~|Benign/Borderline|~|40164077|Female|All other|2016|~|~|~
0-19|~|~|~|Malignant|~|40164077|Female|All other|2016|~|~|~
0-19|~|~|~|Benign/Borderline|~|40141466|Female|All other|2017|~|~|~
0-19|~|~|~|Malignant|~|40141466|Female|All other|2017|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|21|39687165|Female|All other|2018|0.0|0.1|0.1
0-19|0.2|0.4|0.3|Malignant|119|39687165|Female|All other|2018|0.2|0.4|0.3
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic astrocytoma|2004|~|~|~
0-19|0.1|0.2|0.1|Malignant|45|39865121|Female|Anaplastic astrocytoma|2004|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|39998876|Female|Anaplastic astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic astrocytoma|2006|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|40165421|Female|Anaplastic astrocytoma|2006|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Anaplastic astrocytoma|2007|~|~|~
0-19|0.1|0.1|0.1|Malignant|31|40382360|Female|Anaplastic astrocytoma|2007|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Anaplastic astrocytoma|2008|~|~|~
0-19|0.1|0.1|0.1|Malignant|32|40576293|Female|Anaplastic astrocytoma|2008|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Anaplastic astrocytoma|2009|~|~|~
0-19|0.1|0.1|0.1|Malignant|30|40670476|Female|Anaplastic astrocytoma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40632733|Female|Anaplastic astrocytoma|2010|~|~|~
0-19|0.1|0.1|0.1|Malignant|40|40632733|Female|Anaplastic astrocytoma|2010|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40459557|Female|Anaplastic astrocytoma|2011|~|~|~
0-19|0.1|0.1|0.1|Malignant|39|40459557|Female|Anaplastic astrocytoma|2011|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40305208|Female|Anaplastic astrocytoma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|24|40305208|Female|Anaplastic astrocytoma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40208756|Female|Anaplastic astrocytoma|2013|~|~|~
0-19|0.1|0.2|0.1|Malignant|51|40208756|Female|Anaplastic astrocytoma|2013|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|40150534|Female|Anaplastic astrocytoma|2014|~|~|~
0-19|0.1|0.1|0.1|Malignant|40|40150534|Female|Anaplastic astrocytoma|2014|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|198853824|Female|Anaplastic astrocytoma|2014-2018|~|~|~
0-19|0.1|0.1|0.1|Malignant|155|198853824|Female|Anaplastic astrocytoma|2014-2018|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40145405|Female|Anaplastic astrocytoma|2015|~|~|~
0-19|0.1|0.1|0.1|Malignant|34|40145405|Female|Anaplastic astrocytoma|2015|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40164077|Female|Anaplastic astrocytoma|2016|~|~|~
0-19|0.1|0.1|0.1|Malignant|30|40164077|Female|Anaplastic astrocytoma|2016|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40141466|Female|Anaplastic astrocytoma|2017|~|~|~
0-19|0.0|0.1|0.1|Malignant|27|40141466|Female|Anaplastic astrocytoma|2017|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39687165|Female|Anaplastic astrocytoma|2018|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|39687165|Female|Anaplastic astrocytoma|2018|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Anaplastic oligodendroglioma|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Anaplastic oligodendroglioma|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Anaplastic oligodendroglioma|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Anaplastic oligodendroglioma|2006|~|~|~
